Speccode,Zoop_Taxa,Type,Season,All_Bio_SUM_m3,All_Den_SUM_m3,All_Bio_SUM_m2,All_Bio_MEAN_m3,All_Den_MEAN_m3,All_Bio_MEAN_m2,All_Bio_SD_m3,All_Den_SD_m3,All_Bio_SD_m2,N,All_Bio_SE_m3,All_Den_SE_m3,All_Bio_SE_m2
ALOSP,Non-Daphnid,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
ALOSP,Non-Daphnid,NS,Summer,0.007204142613554053,18.3819830505403,0.14408285227108106,5.541648164272348e-4,1.4139986961954076,0.14408285227108106,0.001998069660686484,5.09824480257177,0.14408285227108106,13,5.541648164272348e-4,1.4139986961954079,0.039961393213729685
ALOSP,Non-Daphnid,OS,Spring,8.634788217645979e-4,1.01747241613032,0.01726957643529196,1.0793485272057473e-4,0.12718405201629,0.01726957643529196,3.052858651403587e-4,0.359730822558005,0.01726957643529196,8,1.0793485272057472e-4,0.12718405201629,0.006105717302807174
ALOSP,Non-Daphnid,OS,Summer,0,0,0,0,0,0,0,0,0,8,0,0,0
ASCECAU,Rotifers,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
ASCECAU,Rotifers,NS,Summer,0.06765907119623078,3007.580977033721,1.3531814239246158,0.005204543938171598,231.35238284874777,1.3531814239246158,0.009560072620626461,327.7235429686458,1.3531814239246158,13,0.002651487079294469,90.89415679616756,0.3753050006896597
ASCECAU,Rotifers,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
ASCECAU,Rotifers,OS,Summer,0.20185786430321206,5287.63273519235,4.037157286064241,0.025232233037901508,660.9540918990438,4.037157286064241,0.051696562944720637,1331.7579091674831,4.037157286064241,8,0.018277495111124576,470.84752423557273,1.4273506468463517
ASCOVAL,Rotifers,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
ASCOVAL,Rotifers,NS,Summer,1.1572165970662909,82307.63411218418,23.144331941325817,0.0890166613127916,6331.356470168014,23.144331941325817,0.09232859873131909,6280.682698786307,23.144331941325817,13,0.02560734591673157,1741.947962722583,6.419082734677635
ASCOVAL,Rotifers,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
ASCOVAL,Rotifers,OS,Summer,0.3436512979142279,23717.294615062256,6.873025958284557,0.042956412239278485,2964.661826882782,6.873025958284557,0.02942577715993087,1980.165949267612,6.873025958284557,8,0.010403583285735672,700.0943853009127,2.4299816311870894
ASPHERR,Rotifers,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
ASPHERR,Rotifers,NS,Summer,7.12728176338644,2385.276695133241,142.54563526772878,0.5482524433374185,183.482822702557,142.54563526772878,1.0662371419527086,353.81516746224713,142.54563526772878,13,0.2957209759318975,98.1306714093854,39.53504592702955
ASPHERR,Rotifers,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
ASPHERR,Rotifers,OS,Summer,5.378961995688445,1661.36880613122,107.5792399137689,0.6723702494610556,207.6711007664025,107.5792399137689,1.901750251448012,587.3825744335921,107.5792399137689,8,0.6723702494610555,207.67110076640247,38.03500502896024
ASPPRIO,Rotifers,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
ASPPRIO,Rotifers,NS,Summer,34.68237354155498,15647.217909127497,693.6474708310997,2.6678748878119216,1203.6321468559613,693.6474708310997,2.8676986772060764,1333.6994694324467,693.6474708310997,13,0.7953565094805203,369.9016786998311,192.38319409057246
ASPPRIO,Rotifers,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
ASPPRIO,Rotifers,OS,Summer,25.682177084138623,10057.568509402372,513.6435416827725,3.210272135517328,1257.1960636752965,513.6435416827725,3.400704960453865,1468.2716475245813,513.6435416827725,8,1.202330769175829,519.1124192942879,181.60041571828174
BOSLONG,Non-Daphnid,NS,Spring,0.10477436886548183,123.81006967125563,2.8563702664670374,0.011641596540609093,13.756674407917293,2.8563702664670374,0.012380087347924802,14.25198810328718,2.8563702664670374,9,0.0041266957826416005,4.7506627010957265,0.9521234221556791
BOSLONG,Non-Daphnid,NS,Summer,90.86685270504712,75607.55357779829,1817.3370541009424,6.98975790038824,5815.965659830637,1817.3370541009424,7.311932348069883,5091.929979788218,1817.3370541009424,13,2.027965154129982,1412.2472794768257,504.0386102585863
BOSLONG,Non-Daphnid,OS,Spring,0.20975820497396055,171.23058442598023,4.195164099479211,0.02621977562174507,21.403823053247528,4.195164099479211,0.03416099511862252,28.398585051898294,4.195164099479211,8,0.012077735650229265,10.040416033150102,1.4832144914660528
BOSLONG,Non-Daphnid,OS,Summer,61.98435273358219,47254.63193648524,1239.6870546716439,7.748044091697774,5906.828992060655,1239.6870546716439,9.650557483330063,5928.579064906623,1239.6870546716439,8,3.411987319346635,2096.0692297980368,438.2955614537488
BRACALC,Rotifers,NS,Spring,0.005324655183095035,15.7293259584723,0.2768820695209418,5.916283536772261e-4,1.7477028842747,0.2768820695209418,0.0017748850610316783,5.2431086528241,0.2768820695209418,9,5.916283536772261e-4,1.7477028842747,0.09229402317364727
BRACALC,Rotifers,NS,Summer,0,0,0,0,0,0,0,0,0,13,0,0,0
BRACALC,Rotifers,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
BRACALC,Rotifers,OS,Summer,0,0,0,0,0,0,0,0,0,8,0,0,0
BYTLONG,Predatory Cladocerans,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
BYTLONG,Predatory Cladocerans,NS,Summer,28.18065737939957,756.5105181686469,563.6131475879914,2.1677428753384285,58.1931167822036,563.6131475879914,4.493913009886225,181.34029691050347,563.6131475879914,13,1.2463872142014996,50.2947491398988,156.31816178108895
BYTLONG,Predatory Cladocerans,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
BYTLONG,Predatory Cladocerans,OS,Summer,11.003373958758555,55.13157697380139,220.06747917517112,1.3754217448448194,6.891447121725173,220.06747917517112,1.556029221202859,7.587547443866484,220.06747917517112,8,0.550139407018482,2.6826031250663225,77.8056034216964
CECPENG,Predatory Cladocerans,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
CECPENG,Predatory Cladocerans,NS,Summer,4.479697394999351,2228.201565906171,89.59394789998703,0.34459210730764245,171.40012045432084,89.59394789998703,0.5560735193257464,324.21538592489964,89.59394789998703,13,0.15422704514282265,89.92116909589011,24.848890240357882
CECPENG,Predatory Cladocerans,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
CECPENG,Predatory Cladocerans,OS,Summer,5.4611293224616455,1555.2496425675533,109.2225864492329,0.6826411653077057,194.40620532094417,109.2225864492329,0.6254079477178272,181.4172776599459,109.2225864492329,8,0.22111510041961865,64.14069362887525,38.61601576849325
CEPSP,Rotifers,NS,Spring,3.0880619871394917e-4,3.79853650701943,0.005233640915544774,3.4311799857105466e-5,0.4220596118910478,0.005233640915544774,8.559808308917118e-5,1.0075500972869393,0.005233640915544774,9,2.853269436305706e-5,0.33585003242897976,0.001744546971848258
CEPSP,Rotifers,NS,Summer,0,0,0,0,0,0,0,0,0,13,0,0,0
CEPSP,Rotifers,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
CEPSP,Rotifers,OS,Summer,0,0,0,0,0,0,0,0,0,8,0,0,0
CERLACU,Non-Daphnid,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
CERLACU,Non-Daphnid,NS,Summer,0,0,0,0,0,0,0,0,0,13,0,0,0
CERLACU,Non-Daphnid,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
CERLACU,Non-Daphnid,OS,Summer,0.16407916004353956,88.057110492633,3.2815832008707915,0.020509895005442445,11.007138811579125,3.2815832008707915,0.03962725782421462,17.855024234363494,3.2815832008707915,8,0.014010351363664915,6.312704357184285,1.1602148671817964
CERSP,Non-Daphnid,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
CERSP,Non-Daphnid,NS,Summer,0.15548783035570182,183.2402104926327,3.1097566071140363,0.011960602335053985,14.095400807125593,3.1097566071140363,0.019202163702675554,24.027112301681246,3.1097566071140363,13,0.005325721986911551,6.663921954234102,0.8624913000894294
CERSP,Non-Daphnid,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
CERSP,Non-Daphnid,OS,Summer,0.0026640859753026547,9.49735790944581,0.053281719506053093,3.3301074691283183e-4,1.1871697386807263,0.053281719506053093,9.418966294002422e-4,3.3578230905624125,0.053281719506053093,8,3.3301074691283183e-4,1.1871697386807263,0.01883793258800484
CHYSPHA,Non-Daphnid,NS,Spring,0,0,0,0,0,0,0,0,0,9,0,0,0
CHYSPHA,Non-Daphnid,NS,Summer,0,0,0,0,0,0,0,0,0,13,0,0,0
CHYSPHA,Non-Daphnid,OS,Spring,0,0,0,0,0,0,0,0,0,8,0,0,0
CHYSPHA,Non-Daphnid,OS,Summer,0.07677723275072447,85.6099867893707,1.5355446550144893,0.009597154093840559,10.701248348671337,1.5355446550144893,0.027144850959387578,30.267701098027384,1.5355446550144893,8,0.009597154093840557,10.701248348671337,0.5428970191877516
COLSP,Rotifers,NS,Spring,2.1718178144110726e-4,10.52384086001524,0.012015178983155196,2.4131309049011917e-5,1.1693156511128044,0.012015178983155196,5.221785131009119e-5,2.631728565198694,0.012015178983155196,9,1.7405950436697064e-5,0.8772428550662313,0.004005059661051732
COLSP,Rotifers,NS,Summer,0.46341486891876404,37651.75809227853,9.268297378375282,0.035647297609135695,2896.2890840214254,9.268297378375282,0.028272779400832816,1805.8739735301172,9.268297378375282,13,0.00784145814073729,500.8593237375951,2.570563187229273
COLSP,Rotifers,OS,Spring,0.0058914452199999995,264.53176399,0.1178289044,7.364306524999999e-4,33.06647049875,0.1178289044,7.808714142479582e-4,50.25783564631739,0.1178289044,8,2.7607973612473044e-4,17.76882819663501,0.041658808660510714
COLSP,Rotifers,OS,Summer,1.1236941372990201,56030.259643594276,22.4738827459804,0.14046176716237752,7003.7824554492845,22.4738827459804,0.13955935028321131,7036.526667155173,22.4738827459804,8,0.04934168148162372,2487.787861172699,7.945717444637044
COOUNIC,Rotifers,NS,Spring,4.254358858400457e-4,25.51217735185012,0.007766087460691864,4.72706539822273e-5,2.8346863724277913,0.007766087460691864,9.416550582895356e-5,5.393917213255292,0.007766087460691864,9,3.1388501942984516e-5,1.7979724044184306,0.002588695820230621
COOUNIC,Rotifers,NS,Summer,11.129859008630051,778675.3694539317,222.59718017260101,0.8561430006638501,59898.10534261013,222.59718017260101,0.7696833588975732,59939.60397149288,222.59718017260101,13,0.21347175510588867,16624.25504232481,61.73734976046224
COOUNIC,Rotifers,OS,Spring,1.4659563e-4,15.26208625,0.0029319126000000003,1.832445375e-5,1.90776078125,0.0029319126000000003,3.3932314832058135e-5,3.6254626167362307,0.0029319126000000003,8,1.1996884959552585e-5,1.2817946006162568,0.0010365876406531408
COOUNIC,Rotifers,OS,Summer,15.466551277683308,769306.8041684818,309.33102555366617,1.9333189097104135,96163.35052106023,309.33102555366617,1.3019150916299,65079.01371409865,309.33102555366617,8,0.46029649491030383,23008.90595508574,109.36503290019327
COPNAUP,Nauplii,NS,Spring,1.112465302081447,16196.519838607766,31.263657620759663,0.12360725578682744,1799.613315400863,31.263657620759663,0.20119121731964398,3110.8002776877042,31.263657620759663,9,0.06706373910654799,1036.9334258959013,10.421219206919888
COPNAUP,Nauplii,NS,Summer,29.587477260834486,305019.96390043106,591.7495452166897,2.2759597892949603,23463.074146187006,591.7495452166897,2.4489495340119025,25732.705789998385,591.7495452166897,13,0.6792163935310429,7136.968475559097,164.12179442394395
COPNAUP,Nauplii,OS,Spring,1.938450595,8892.506381,38.7690119,0.242306324375,1111.563297625,38.7690119,0.1725240766779954,553.4020255801404,38.7690119,8,0.06099647226847922,195.65716250504423,13.70691560719598
COPNAUP,Nauplii,OS,Summer,23.362120971850086,226780.21894133615,467.2424194370017,2.9202651214812607,28347.52736766702,467.2424194370017,2.6815168567019274,26682.60835882137,467.2424194370017,8,0.9480593766199842,9433.726655133722,165.1951416209565
