Speccode,Type,All_Bio_SUM_m3,All_Den_SUM_m3,All_Bio_SUM_m2,All_Bio_MEAN_m3,All_Den_MEAN_m3,All_Bio_MEAN_m2,All_Bio_SD_m3,All_Den_SD_m3,All_Bio_SD_m2,N,All_Bio_SE_m3,All_Den_SE_m3,All_Bio_SE_m2
ASCECAU,NS,0.06242094955523639,2774.7359981667773,9.815273958945787e-4,0.004801611504248953,213.44123062821365,9.815273958945787e-4,0.00881993796612693,302.351397706577,9.815273958945787e-4,13,0.0024462106602524784,83.85718981840529,2.7222671955158046e-4
ASCECAU,OS,0.2020999732244331,5293.801238563767,0.004041999464488662,0.025262496653054137,661.7251548204708,0.004041999464488662,0.05177491601595433,1333.7203734557086,0.004041999464488662,8,0.018305197105122645,471.54136013859306,0.0014290626154461633
ASCOVAL,NS,1.0914600320948584,77483.72747518099,0.019204397140324146,0.0839584640072968,5960.286728860076,0.019204397140324146,0.09624239099496318,6684.722196117419,0.019204397140324146,13,0.026692836585045652,1854.0083569487385,0.0053263414310625165
ASCOVAL,OS,0.33561429138363674,23719.930953950476,0.006712285827672735,0.04195178642295459,2964.9913692438095,0.006712285827672735,0.029780036746930142,1981.5681281205414,0.006712285827672735,8,0.010528832963869438,700.590130388584,0.0023731514130048742
ASPHERR,NS,6.575492207511796,2200.610112284361,0.10400639368104322,0.5058070928855227,169.27770094495085,0.10400639368104322,0.9836897503177253,326.4230254651915,0.10400639368104322,13,0.27282644876299444,90.53345813898734,0.028846183491776554
ASPHERR,OS,5.378961995688815,1661.3688061313344,0.10757923991377631,0.6723702494611019,207.6711007664168,0.10757923991377631,1.901750251448143,587.3825744336326,0.10757923991377631,8,0.6723702494611019,207.6711007664168,0.038035005028962864
ASPPRIO,NS,33.59460140347299,15390.010751753656,0.6378004836123049,2.584200107959461,1183.8469809041273,0.6378004836123049,2.8708174495284187,1419.3034502916378,0.6378004836123049,13,0.7962215012901128,393.6439511899581,0.1768940267061458
ASPPRIO,OS,25.607841942027445,10062.462929429908,0.5121568388405489,3.2009802427534306,1257.8078661787385,0.5121568388405489,3.4099066045304975,1469.7558946417253,0.5121568388405489,8,1.205584041638155,519.6371798950324,0.18107478688760892
COLSP,NS,0.41119112260540996,34552.07267570728,0.007405058912242481,0.0316300863542623,2657.851744285175,0.007405058912242481,0.026290062107394124,1979.5644105931756,0.007405058912242481,13,0.007291551304872491,549.0323834982573,0.002053793815840143
COLSP,OS,1.0949052943382596,55791.84588785423,0.02189810588676519,0.13686316179228245,6973.980735981779,0.02189810588676519,0.14243885213496285,7069.389344556247,0.02189810588676519,8,0.05035973912453008,2499.4065721918223,0.007742149583836361
COOUNIC,NS,10.659513120216728,750237.1451409222,0.19951515834933248,0.8199625477089791,57710.54962622478,0.19951515834933248,0.8282359125117612,62807.45535764874,0.19951515834933248,13,0.22971131159552782,17419.653905647538,0.05533554874314119
COOUNIC,OS,15.535415830886382,769298.451652604,0.31070831661772763,1.9419269788607978,96162.3064565755,0.31070831661772763,1.2919087243172622,65077.61379831162,0.31070831661772763,8,0.45675870981939903,23008.41101011269,0.10985197882572602
GASSTYL,NS,1.2100970151069974,53450.94024859025,0.020485014610801818,0.09308438577746135,4111.610788353096,0.020485014610801818,0.09803710058969509,4096.6201423984985,0.020485014610801818,13,0.027190599467228196,1136.1979984243367,0.0056815208121442275
GASSTYL,OS,0.44727505219252023,19983.093268613564,0.008945501043850406,0.05590938152406503,2497.8866585766955,0.008945501043850406,0.04075387112319842,1678.7433527562307,0.008945501043850406,8,0.01440866931540811,593.5254043028856,0.0031627122246089805
KELLONG,NS,2.83296538345628,254834.70900962895,0.053680605849750644,0.2179204141120215,19602.66992381761,0.053680605849750644,0.48483110087136133,39866.21582525816,0.053680605849750644,13,0.134467953394719,11056.898870514018,0.014888321299172932
KELLONG,OS,2.7934347896201754,424043.20578746713,0.055868695792403514,0.34917934870252193,53005.40072343339,0.055868695792403514,0.39756151634108344,59078.30722530729,0.055868695792403514,8,0.14055922207179325,20887.335830018495,0.01975256682542843
KERCOCH,NS,0.7108952276093395,387893.51246019005,0.013674709152956372,0.054684248277641505,29837.962496937693,0.013674709152956372,0.080346747191603,42790.51912142583,0.013674709152956372,13,0.02228417821662053,11867.954676617164,0.003792681925233918
KERCOCH,OS,0.7083845971138879,463973.942116009,0.014167691942277757,0.08854807463923599,57996.74276450113,0.014167691942277757,0.09995952359606478,63796.98527600851,0.014167691942277757,8,0.03534102848947705,22555.640453961973,0.0050090355230733045
KERCOCHH,NS,0.06810909144315705,30217.464359950958,0.0012308862484595887,0.00523916088024285,2324.420335380843,0.0012308862484595887,0.008102346475445948,3409.7906077388548,0.0012308862484595887,13,0.0022471865899073304,945.7057595998431,3.41386421775735e-4
KERCOCHH,OS,0.020838614615223378,9336.741007626,4.1677229230446756e-4,0.002604826826902922,1167.09262595325,4.1677229230446756e-4,0.006517157742580171,2907.3184491258144,4.1677229230446756e-4,8,0.0023041632169204253,1027.89229522281,1.4735125704957547e-4
KERCRAS,NS,0.4989097226762277,125964.96703084072,0.009437058538715326,0.03837767097509444,9689.612848526209,0.009437058538715326,0.032020845963121373,7843.214275344749,0.009437058538715326,13,0.008880984769520631,2175.3162487851255,0.0026173691116071827
KERCRAS,OS,0.331564143348161,92851.59764101167,0.00663128286696322,0.04144551791852012,11606.449705126459,0.00663128286696322,0.03295122515740958,9413.683866075718,0.00663128286696322,8,0.011650017378604537,3328.2398488242675,0.0023445125415979314
KEREARL,NS,0.037796251814448775,17666.46057477093,6.992142180454354e-4,0.0029074039857268285,1358.95850575161,6.992142180454354e-4,0.004679998082514739,2246.1273193898696,6.992142180454354e-4,13,0.001297997927352311,622.9636324062043,1.9392713197663658e-4
KEREARL,OS,0.23486340622794713,96518.46029320432,0.004697268124558942,0.02935792577849339,12064.80753665054,0.004697268124558942,0.030948371582139065,12445.580011623257,0.004697268124558942,8,0.010941901706205785,4400.1770110092775,0.0016607350719635222
KERQUAD,NS,1.633486773253076,17448.588812344897,0.032669735465061515,0.12565282871177508,1342.1991394111458,0.032669735465061515,0.4161076663786085,4381.51744922148,0.032669735465061515,13,0.11540750209551817,1215.2142944237103,0.009060954336547975
KERQUAD,OS,2.6211177957984324,33194.64587710184,0.052422355915968645,0.32763972447480405,4149.33073463773,0.052422355915968645,0.5813034003221055,7320.6975891462025,0.052422355915968645,8,0.20552178814727953,2588.2574541506447,0.018534101676978075
PLOHUDS,NS,3.491253156332348,12565.065331103855,0.06338594539532665,0.26855793510248827,966.5434870079888,0.06338594539532665,0.4570502808055467,1325.719163349171,0.06338594539532665,13,0.12676294022381643,367.6883400246659,0.017580098174354675
PLOHUDS,OS,2.822791361992001,8208.0645814444415,0.05645582723984002,0.3528489202490001,1026.0080726805552,0.05645582723984002,0.4047129690416132,826.0346237124891,0.05645582723984002,8,0.14308764242173297,292.04734196098957,0.019960149139393542
PLOLENT,NS,0.1195457700150707,2326.353677253539,0.0022427787437817354,0.009195828462697746,178.95028286565685,0.0022427787437817354,0.02308979334238024,388.04808710172557,0.0022427787437817354,13,0.006403956448909154,107.625175030076,6.220349046327508e-4
PLOLENT,OS,0.402587941545105,11345.580681993786,0.0080517588309021,0.05032349269313813,1418.1975852492233,0.0080517588309021,0.09098317069090826,2621.738141134126,0.0080517588309021,8,0.03216740848469719,926.9244090456772,0.002846726634904771
PLOTRUN,NS,0.7037537888548142,31699.519487897254,0.013161819239563294,0.05413490683498571,2438.4245759920964,0.013161819239563294,0.07793549061354177,3364.2093933059577,0.013161819239563294,13,0.021615415968120562,933.0638053047869,0.0036504318574333778
PLOTRUN,OS,0.5395732159016727,24345.53173592523,0.010791464318033454,0.06744665198770909,3043.1914669906537,0.010791464318033454,0.12938518487025868,5481.805182081499,0.010791464318033454,8,0.0457445708034175,1938.1108086966922,0.0038153587991070583
POLREMA,NS,0.6803694375560047,23865.911226017153,0.013016518171290235,0.052336110581231124,1835.8393250782424,0.013016518171290235,0.12300579256285586,4116.429327221727,0.013016518171290235,13,0.034115668635727986,1141.6920777785901,0.003610132591891977
POLREMA,OS,0.16959020210841125,9244.382206556615,0.003391804042168225,0.021198775263551406,1155.5477758195768,0.003391804042168225,0.03206716765059608,1759.0678463957017,0.003391804042168225,8,0.011337455849591187,621.9244013768084,0.0011991838193365471
POLSP,NS,3.248362691443246,92562.48722716385,0.06224038358744323,0.249874053187942,7120.19132516645,0.06224038358744323,0.2827258821567368,7890.8429000183405,0.06224038358744323,13,0.07841405115514645,2188.526052511315,0.017262376494544145
POLSP,OS,3.126997371975454,63230.792241417585,0.06253994743950908,0.3908746714969317,7903.849030177198,0.06253994743950908,0.6788415022663221,13359.16093916954,0.06253994743950908,8,0.2400067148016897,4723.176645524614,0.022111210464763564
POLVULG,NS,0.0764637241561175,1611.2213373654135,0.0015188479892513636,0.005881824935085962,123.94010287426258,0.0015188479892513636,0.01617739200032718,343.3171160422271,0.0015188479892513636,13,0.00448680125849697,95.21903581805157,4.2125263883701307e-4
POLVULG,OS,1.894918665013112,36979.8502627705,0.03789837330026224,0.236864833126639,4622.481282846313,0.03789837330026224,0.3906638893399956,7526.026940035833,0.03789837330026224,8,0.13812054265851093,2660.8523423459897,0.013399098378277312
SYNSP,NS,1.8954123693941516,79140.12318397197,0.031499753843278244,0.14580095149185782,6087.701783382459,0.031499753843278244,0.18646345054315447,10316.97888406207,0.031499753843278244,13,0.051715656302560545,2861.4151057203876,0.008736459818956429
SYNSP,OS,1.0460554984560342,31596.965743153698,0.020921109969120687,0.13075693730700427,3949.6207178942122,0.020921109969120687,0.10573066009980871,3498.3329262438097,0.020921109969120687,8,0.037381433367952334,1236.847467497588,0.0073967293645573595
